,Messstelle,LQI<sub>BW</sub>,NO<sub>2</sub> [µg/m<sup>3</sup>],O<sub>3</sub> [µg/m<sup>3</sup>],PM<sub>10</sub> [µg/m<sup>3</sup>],"PM<sub>2,5</sub> [µg/m<sup>3</sup>]",Kategorie,Reg.-Bez.,extra_0,extra_1,extra_2,extra_3
0,Aalen,2,2,2,2,78.0,8.0,16,4.0,11,städt. Hgr.,S
1,Baden-Baden,2,2,3,2,77.0,9.0,14,3.0,8,städt. Hgr.,KA
2,Bernhausen,2,2,3,3,74.0,10.0,17,4.0,10,städt. Hgr.,S
3,Biberach,3,3,3,3,87.0,10.0,11,4.0,7,städt. Hgr.,TÜ
4,Eggenstein,2,3,4,10,69.0,10.0,28,4.0,14,städt. Hgr.,KA
5,Freiburg,3,3,3,3,99.0,11.0,14,4.0,7,städt. Hgr.,FR
6,Freiburg Schwarzwaldstraße,1,2,2,13,,11.0,15,4.0,8,Verkehr,FR
7,Friedrichshafen,3,3,3,5,110.0,11.0,13,5.0,8,städt. Hgr.,TÜ
8,Gärtringen,2,2,3,0,69.0,9.0,15,4.0,9,städt. Hgr.,S
9,Heidelberg,2,2,3,7,66.0,9.0,16,4.0,12,städt. Hgr.,KA
10,Heilbronn,2,2,2,6,62.0,8.0,17,4.0,11,städt. Hgr.,S
11,Heilbronn Weinsberger Straße-Ost,1,2,3,17,,,,,,Verkehr,S
12,Karlsruhe Reinhold-Frank-Straße,1,2,4,7,,10.0,22,4.0,14,Verkehr,KA
13,Karlsruhe-Nordwest,2,2,4,5,71.0,11.0,21,4.0,14,städt. Hgr.,KA
14,Kehl,3,3,3,1,83.0,13.0,14,4.0,7,städt. Hgr.,FR
15,Konstanz,3,3,3,5,112.0,12.0,13,5.0,7,städt. Hgr.,
16,Ludwigsburg,2,2,3,4,65.0,11.0,23,4.0,13,städt. Hgr.,S
17,Ludwigsburg Schlossstraße,2,2,3,22,,,20,,12,Spot (kontinuierlich),S
18,Mannheim Friedrichsring,1,2,2,13,,10.0,18,5.0,11,Verkehr,KA
19,Mannheim-Nord,2,2,3,9,61.0,9.0,17,4.0,11,städt. Hgr.,KA
20,Neuenburg,3,3,3,2,102.0,10.0,13,4.0,7,städt. Hgr.,FR
21,Pforzheim,2,2,3,1,72.0,10.0,18,3.0,12,städt. Hgr.,KA
22,Pforzheim Luisenstraße,1,2,3,14,,10.0,20,5.0,13,Spot (kontinuierlich),KA
23,Reutlingen,2,2,3,0,72.0,9.0,17,4.0,11,städt. Hgr.,TÜ
24,Reutlingen Lederstraße-Ost,1,2,3,12,,10.0,17,4.0,11,Verkehr,TÜ
25,Schramberg Oberndorfer Straße,1,2,2,13,,,,,,Verkehr,FR
26,Schwarzwald-Süd,3,3,3,2,93.0,8.0,10,4.0,6,ländl. Hgr.,FR
27,Schwäbisch Hall,2,2,3,3,67.0,7.0,17,3.0,11,städt. Hgr.,S
28,Schwäbische Alb,2,2,4,1,74.0,8.0,11,3.0,8,ländl. Hgr.,TÜ
29,Stuttgart Hauptstätter Straße,1,2,3,13,,10.0,17,5.0,11,Spot (kontinuierlich),S
30,Stuttgart Hohenheimer Straße,1,2,3,12,,,,,,Spot (kontinuierlich),S
31,Stuttgart-Bad Cannstatt,2,2,3,5,69.0,10.0,18,4.0,11,städt. Hgr.,S
32,Tauberbischofsheim,2,2,2,4,62.0,8.0,12,5.0,9,städt. Hgr.,S
33,Tübingen Mühlstraße,1,2,3,12,,12.0,21,5.0,13,Spot (kontinuierlich),TÜ
34,Ulm,2,2,3,4,78.0,9.0,18,4.0,13,städt. Hgr.,TÜ
35,Villingen-Schwenningen,2,2,3,0,75.0,9.0,14,4.0,8,städt. Hgr.,FR
36,Weil am Rhein,3,3,3,2,100.0,10.0,14,4.0,7,städt. Hgr.,FR
37,Wiesloch,2,2,3,4,74.0,10.0,18,4.0,12,städt. Hgr.,KA
